Law Firm Name,State Served,Website,Specialities,Consultation Email,Contact Form Link,General Phone,Phone 1,Address 1,Phone 2,Address 2,Phone 3,Address 3,Phone 4,Address 4,Phone 5,Address 5,Phone 6,Address 6,Phone 7,Address 7,Phone 8,Address 8,Phone 9,Address 9,Phone 10 ,Address 10,Phone 11,Address 11,Phone 12,Address 12 ,Phone 13 ,Address 13 
"Fayad Law, P.C.",Virginia ,https://www.fayadlaw.com/,"Business Immigration, Entrepreneur visas, Family Immigration, Employment Visas, Permanent Visas, Citizenship, Political Asylum, Deportation and Removal, Immigration bond determination, Refugee Law, Immigration Discrimination, Religious Visas, Human Rights,DV  Lottery- Visa",,https://www.fayadlaw.com/contact-us/,800-526-1949, 703- 997-6530,"8315 Lee Highway
Suite 620
Farifax VA 22031",805-286-0642,"8501 Mayland Dr.
Suite 101
Richmond, VA 23294",,,,,,,,,,,,,,,,,,,,,,
"Law Office of Michael McVicker | Reston, Virginia Immigration Attorney",Virginia ,https://www.mamcvicker.com/,"employment and family based immigrant petitions / green cards, non-immigrant visas  including E-1, E-2, H-1B, L-1B, L-1A, O-1, and TN-, fiancé visas  K-1-, applications for labor certification  PERM applications-, work authorization, naturalization, and other immigration matters.",info@mamcvicker.com,https://www.mamcvicker.com/, 703- 435-8435,,"1810 Michael Faraday Drive
First Floor
Reston, VA 20190",,,,,,,,,,,,,,,,,,,,,,,,
PRICE BENOWITZ LLP,"Virginia, Maryland, District of Columbia",https://pricebenowitz.com/virginia-immigration/deportation-defense-lawyer/ ,"Applying for lawful permanent status  LPR-, asylum, delay, deportation defense, family, green card, I-9 compliance, visas",,https://www.barreralawfirm.com/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Law Offices of Eric T. Dean, Jr.",Virginia,https://deanvisaoffice.com/?gclid=CjwKCAiA2O39BRBjEiwApB2IkjVmK_jHG357oyaDXzPc6T6HtiUGlhuBrsiS1HATu6sm02wB3coIgxoCM8kQAvD_BwE,"Fiancee visas K-1-, Marriage CR-1- visas",,https://www.novaimmigrationlawfirm.com/,1-800-931-8368,1-203-389-4790,"111 South Ave., North Haven, CT 06473",,,,,,,,,,,,,,,,,,,,,,,,
Grace Immigration PLLC,Virginia ,http://www.virginiaimmigrationlawcenter.com/,"U.S. citizenship, permanent residency, deportation defense, asylum, pending cases, victim relief, immigration consequences, green cards, DACA, special immigrant juvenile status",jennifer@gracepllc.com,https://thevisafirm.com/contact/, 540- 358-5593,,"305 Market Street SE, Suite 204
Roanoke, Virginia 24011",,,,,,,,,,,,,,,,,,,,,,,,
"Mark J. Monaco, Esq., PLLC",Virginia ,https://www.marklawimmigrant.com/ ,"naturliation, citizenship, green cards, EAD work permits, immigrant and nonimmigrant visas, employment-based immigration","Naturalization, Citizenship, EAD Work Permits, Immigrant and Nonimmigrant Visas, Deportation Defense, Employment-Based Immigration, Green Cards, Family Based Immigration, Waivers, Asylum Immigration Lawyer, TPS – Temporary Protected Status, PERM – Permanent Resident, Status, Removal, Consular Practice",https://virginiaimmigrationcenter.com/consultation/,703-575-8488,,"Annandale Office
Merrion Center, 4216 Evergreen Lane
Suite 136
Annandale, Virginia 22003",,,,,,,,,,,,,,,,,,,,,,,,
Miller Law,Virginia ,http://millerlawdc.com/,"Asylum, Citizenship, Deportation, Employment-Based Immigration, Family Immigration, Federal Court Litigation, Fiance, Visa, Green Card Defense, Removal defense, Waivers",contact@millerlawdc.com,https://www.valverdelaw.com/contact-us-3,202.810.3005,,"3300 Fairfax Dr, Arlington, VA 22201",,,,,,,,,,,,,,,,,,,,,,,,
"Naureen F. Hyder, PLLC",Virginia ,https://hyderimmigration.com/,"H-1B, L-1A and L-1B Visas, E-2 Investor Visas, TN Visas, Alien Employment Certification  PERM-, Adjustment of Status, Consular Processing, Waivers, Spouses, Parents, Children & Relatives, Fiancé e- Petitions, Asylum, Withholding of Removal and CAT protection, Cancellation of Removal, Cancellation under Violence Against Women Act  VAWA-, Stay of Removal, ICE Detainers, Bond Hearing Representation, Request for Credible Fear Interview, Tourist Visas  B-1/B-2-, Student Visas  F-1-, Victim of Criminal Activity  U-Visas-, Extensions of Stay, Change of Status, Violence Against Women Act  VAWA-, Deferred Action for Childhood Arrivals  DACA-, Removal of Green Card Conditions, Naturalization",nfhyder@hyderimmigration.com,http://www.torresimmigrationlaw.com/?gclid=Cj0KCQiAkuP9BRCkARIsAKGLE8XbzA-cnEIQI_eM7DnR4ugohI35F6qmtqSlzrGgCBI6A6asqpKaEqIaAkzEEALw_wcB,804.414.6616,,"2727 Enterprise Pkwy, Suite 104, Richmond, VA 23294",,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Van Doren PLLC,Virginia ,https://vandorenlaw.com/,"H-1B visas for workers in specialty occupations, L-1 visas for employees transferring within companies, TN visas for Mexican and Canadian workers in a profession defined by the North American Free Trade Agreement  NAFTA-, E-1 visa for treaty traders, E-2 visas for treaty investors, B-1 and B-2 visitor and business visas, H-2 visas for temporary or seasonal workers, O visas for employees of extraordinary ability, their assistants and dependent, Labor certification  PERM- applications in the employment-based second and third, preference  EB-2 or EB-3- categories,
Outstanding Professor or Researcher or Multi-National Executive petition in the employment-based first preference  EB-1- category ,National interest waiver applications, Green cards for clergy or other special immigrant religious workers",,https://immigration-law.cambriaklinelaw.com/?gclid=Cj0KCQiAkuP9BRCkARIsAKGLE8WwBibeUuDfZvH1OXvtZhNftIijQq6uGoj9a1KRPZRmteH4OAPt4-EaAtAKEALw_wcB, 540- 698-3918, 540- 302-2920,"201 Church Street, Suite A
Blacksburg, VA 24060",,,,,,,,,,,,,,,,,,,,,,,,
"The Barrera Law Firm, PLLC.","Virginia, Maryland, District of Columbia",https://www.scottccimmigrationlaw.com/,"Visas for professionals and business people — responsive and efficient work/business visa services, Worker visas and business immigration — I-140/I-485  Work-based Petition by U.S. Employer/Permanent Resident Application-, H-1B, B, E-1, E-2, F-1, H2, H3, L-1, L-2, Blanket L, O, P, Q, R, TN visas. Also I-9 Compliance and Audit Services. Professionals, Executives, Managers, Business Owners, and all Employment-based categories  I, II, III, IV, & V-, Visas for individuals — fast and efficient services for all types of individual visas, H-1B visas — temporary work visa services for companies and individuals, U visas — visas for victims of crimes, Family visas and fiancé visas — K-1 and K-2 visas, Special immigrant juvenile visas, Family and individual immigration — including H-1B, B, E-1, E-2, F-1, H2, H3, L-1, L-2, and Blanket L visas, K, O, P, Q, R and S, T, and U visas. Also green cards and I-130/I-485 Petitions for Alien Relative/Permanent Resident applications. K-1, M-1, TN visas, VAWA- I-360  Self Petition for Abused Spouse-, I-765 Workers Permit, I-131 Advanced Parole, Diversity Visa Lottery, TPS and FOIA requests, Deportation, removal and litigation — including removal and deportation defense and relief, asylum, appeals and FOIA requests, Adjustment of status and citizenship — changes in status from temporary to permanent, naturalization and citizenship, and changes to alternative appropriate categories, Criminal charges and immigration — coordinating immigration defense and criminal defense efforts to protect immigration status and consequences, U.S. and I-601 waivers — filing a variety of U.S. Immigration Waivers for clients, Asylum — helping individuals seek asylum or refuge",info@vasselllaw.com,http://www.rmlegal.com/,703-261-6881 ,703-261-6881 VIRGINIA,"Fairfax Office
11350 Random Hills Road
Suite 800
Fairfax, VA 22030",301-251-4003   MARYLAND,"Rockville Office
110 North Washington Street
Suite 404
Rockville, MD 20850",202-973-0156   D.C.,"Washington Office
1629 K Street
Suite 300
Washington, DC 20006",,,,,,,,,,,,,,,,,,,,
"Northern Virginia Immigration Law Firm, PLLC","Virginia, Maryland, District of Columbia",https://www.andrewslaw.net/about-us/ ,"Family-Based Immigration, Employment-Based Immigration, Non-Immigrant Visas, Work Permits, Naturalization",,https://www.fayadlaw.com/contact-us/,888-448-7247,"Alexandria, VA - 703.838.9004",,"Fredericksburg, VA - 540.785.0010",,"Riverdale Park, MD - 301.843.3500",,Washington DC - 202.347.5300,,,,,,,,,,,,,,,,,,,
"Natalia Segermeister, Immigration Lawyers of Price Benowitz",Virginia ,https://www.sumnerimmigration.com/practice-areas/family-based-immigration/ ,"Filing for family members already in the U.S., I-751 Removal of Conditions for Conditional Residents, Filing for family members currently living outside the U.S., Filing for fiancés  K-1-, Immigrant consular processing, K-3 visas for spouses of US citizens  when appropriate-",info@sumnerimmigration.com,https://www.mamcvicker.com/, 804- 396-3412,,"7229 Forest Avenue, Suite 103
Richmond, VA 23226",,,,,,,,,,,,,,,,,,,,,,,,
"
Virginia Law Center for Immigration and Citizenship, PLLC",Virginia ,https://www.johnelledge.com/,"Family-based immigration, Removal defense, Asylum, Detention hearings, Consular processing, Visas, Adjustment of status, Cancellation of removal, Post-conviction relief",,https://www.barreralawfirm.com/contact-us/,540-795-2877,,"2 South Main Street, 2nd Floor
Harrisonburg, VA 22802",,,,,,,,,,,,,,,,,,,,,,,,
VALVERDE LAW PLLC,Virginia ,https://www.valegalaid.org/issues/immigration ,"Deportation/Removal, Detention, Discrimination, Federal Housing Eligibility, Naturalization, Refugees, Undocumented Workers, VAWA Issues",https://www.valegalaid.org/feedback ,https://www.novaimmigrationlawfirm.com/,1-866-534-5243,,,,,,,,,,,,,,,,,,,,,,,,,,
Law Office Of Susan R. Torres PL,Virginia ,https://www.dyerimmigration.com/ ,"employment-based immigration, family-based immigration, deportation defense, waiver application",info@dyerimmigration.com,https://thevisafirm.com/contact/,1.877.377.1247,807-377-7247,"9071 West Broad Street, Henrico, VA 23294",,,,,,,,,,,,,,,,,,,,,,,,
Pride Immigration Law Firm PLLC,Virginia ,https://www.prideimmigration.com/,"worker visas, student visas, visitor visas, green cards, waivers",,https://virginiaimmigrationcenter.com/consultation/, 571- 520-6116,,"KPPB Law
7330 Heritage Village Plaza
Suite 201
Gainesville, VA 20155",,,,,,,,,,,,,,,,,,,,,,,,
"Willy, Nanayakkara and Associates","Texas, Georgia",https://grwpc.com/about-us/ ,"investor visas, employment visas, family visas, student and exchange visitor visas, other visas",immigration@grwpc.com,,888-529-5990,281-265-2522,"14141 Southwest Freeway Bldg B, Ste 110 Sugar Land , TX 77478",404-937-6868,"Silhouette Building
1447 Peachtree St. NE
Suite 700
Atlanta , GA 30309",,,,,,,,,,,,,,,,,,,,,,
Farria Law Group,"Texas, New Jersey",https://www.farrialaw.com/index.html ,immigration law,,https://www.farrialaw.com/index.html , 214- 554-5269,,"Fort Worth Office
The Vinnedge Building
Farria Law Group
2100 N Main St Suite 228,
​Fort Worth TX 76164",,"Dallas Office
Farria Law Group
​2639 Walnut Hill Ln, #203,
​Dallas, TX 75229", 201- 870-0171,"New Jersey Office
426 Hudson Street, First Floor
Hackensack, New Jersey 07601",,,,,,,,,,,,,,,,,,,,
Greenberg Visa Law,Texas,https://asgvisalaw.com/services/startups/?gclid=CjwKCAiA-_L9BRBQEiwA-bm5fkYB-DSPwvpof2AhV8mHCP5Qdo9nowEOpip36QyBjf91biKuTMUZ-BoCVqAQAvD_BwE,"Citizenship, family immigration, employment immigration, work visas, removal defense, asylum, investment, startups, J-1 waivers",contact@asgvisalaw.com,https://asgvisalaw.com/contact-us/,,412.376.7302,"     Penn Center East – Building 1
     201 Penn Center Blvd.
     Suite 400
     Pittsburgh, PA 15235",,,,,,,,,,,,,,,,,,,,,,,,
Bailey & Galyen Attorneys at Law,Texas,http://www.galyen.com/Practice-Areas/Immigration.shtml,"Deportation Removal for a Felony Criminal Conviction, visas, ",,http://www.galyen.com/Contact.shtml,844-402-3900,817-405-4552,"1901 Airport Freeway
Bedford, TX 76021",,,,,,,,,,,,,,,,,,,,,,,,
Karam Immigration Law,Texas,https://www.immisolver.com/,"employment -based immigration, immigration for families and others, permanent residence and naturalization, entering the country, removal/deportation, criminal history and immigration status",,https://www.immisolver.com/contact," 832- 582-0620",,"1111 North Loop West,
Suite 1115 Houston, Texas 77008",,,,,,,,,,,,,,,,,,,,,,,,
"Chavez & Valko, LLP",Texas,https://www.keyvisa.com/firm-overview/,"asylum, citizenship and naturalization, deferred action, family green cards, same-sex spouse immigration, VAWA, visitor and other visas, waivers of inadmissibility lawyers, deportation defense and appeals",,https://www.keyvisa.com/contact/,,214-251-8011,"Dallas Office
10670 N Central Expy
Suite 300
Dallas, TX 75231",817-332-1100,"Chavez & Valko, LLP
5555 Bridge Street
Suite 100
Fort Worth, TX 76112",,,,,,,,,,,,,,,,,,,,,,
The Law Offices of Davis & Associates,Texas,https://gldlaw.com/,"Asylum, business immigration, citizenship & naturalization, DACA, Deportatiom, dual citizenship, family immigration, green cards, immigration appeals, visas",consultation@gldlaw.com ,https://gldlaw.com/contact-us-for-a-free-consultation/,,713-352-0881,"654 N Sam Houston Pkwy E, Suite 100
Houston, TX 77060",214-740-3885,"Davis & Associates
17750 Preston Road
Dallas, TX 75252",,,,,,,,,,,,,,,,,,,,,,
"Mathur Law Offices, P.C.",Texas,https://www.mathurlawoffices.com/immigration/,"Fiancée Visa K-1, E1 - Treaty Trader, E2 - Treaty Investor, Labor Certification, Immediate Relative Visa, EB-5, Immigrant Investor Visa, Convention Against Torture, Victims Visa / Victim of Crime,TN - Trade worker under NAFTA, K-3 Married Spousal Relationship, L - Intra-Transfer Manager or Executive, H2a - Temporary Worker - Agricultural Work, H1 - Temporary Worker - Specialty Occupation, H2b - Temporary Worker - Seasonal or Peak Load Work",,, 888- 867-5191,,"2989 N. Stemmons Freeway Dallas, TX 75247",,,,,,,,,,,,,,,,,,,,,,,,
FOSTER LLP,Texas,https://www.fosterglobal.com/,"US temporary work visas, US permanent residency, US citizenship & naturalizatio, court\deportation\removal defense, unlawful presence waivers, inadmissibility waivers, DACA",info@fosterglobal.com,https://www.fosterglobal.com/contact/,844-30-DREAM  844-303-7326-,713-229-8733,"3 Greenway Plaza
Suite 800
Houston, Texas 77046, USA",512-478-9475,"912 S Capital of Texas Hwy
Suite 450
Austin, Texas 78746, USA",,,,,,,,,,,,,,,,,,,,,,
Akula & Associates P.C. ,Texas,https://www.akulalaw.com/,"Employment Based Visas:E-1 Visa to EB-5 Visa, J Visa, L Visa, O Visa, R Visa, Family Based Visas: K-1 Visa, K-3 Visa, Citizenship and Naturalization",,https://www.akulalaw.com/contact/,844-299-5003, 972- 241-4698,"17400 Dallas Parkway, Suite 216,
Dallas, TX 7528",,,,,,,,,,,,,,,,,,,,,,,,
 The Law Office of Mana Yegani,Texas,https://www.law-mana.com/,"airport detention, asylum/refugee, cancellation of removal for non-permanents, deportation, ICE holds, immigration detention, naturalization & citizenship, waivers, appeals, cancellation of removal for lawful premanent residents, criminal defense, FOIA requests, immigration bonds, green card/lawful permanent residenct LPR-, notice of action: I-797C, I-797E, family based immigration, adjustment of status, DACA, spousal petitions, defenseof marriage act  DOMA-, removing conditions of residency: Form I-751, VAWA petitions",,https://www.law-mana.com/contact-us/,832.981.2170,Text: 832-904-3744,"1221 Studewood St.,
Suite 100
Houston, TX 77008",,,,,,,,,,,,,,,,,,,,,,,,
Dallas Immigration Law Firm,"Texas, Florida, Illinois, Michigan, New Jersey, New York, North Carolina, Ohio, Pennslyvania, Tennessee, Texas",https://www.lawfirm4immigrants.com/locations/texas/dallas/,"famiily-based immigration, student visas, naturalization and citizenship, deportation, exclusion and removal, employment-based immigrant", richardtmherman@gmail.com,https://www.lawfirm4immigrants.com/contact/,-5620,,"Herman Legal Group, LLC.
815 Superior Avenue, Suite 1225
Cleveland, Ohio 44114",,,,,,,,,,,,,,,,,,,,,,,,
Church World Service Global,Texas,https://cwsglobal.org/about/,"Green Card applications for you and your family, Naturalization applications, Extending non-immigrant status, Temporary Protected Status  TPS- and TPS renewals, Employment Authorization, Travel documents and advance parole, Replacing or renewing your Green Card, Preparing for your immigration interview, Deferred Action for Childhood Arrivals  DACA- renewals, U status applications",media@cwsglobal.org,,,212-870-2061,"NEW YORK CORPORATE CENTER
475 Riverside Dr., Suite 700
New York, NY 10115",800-297-1516,"ELKHART CORPORATE CENTER
MAILING ADDRESS
PO Box 968
Elkhart, IN 46515",,"ELKHART CORPORATE CENTER
PHYSICAL ADDRESS
28606 Phillips St
Elkhart, IN 46514",,,,,,,,,,,,,,,,,,,,
"The Gonzalez Law Group, PLLC",Texas,https://www.gonzalezlawgroup.net/immigration/,"visas, asylum, employment-based immigration, family-based immigration, deportation/removal, green cards, naturalization/citizenship, immigration law",,https://www.gonzalezlawgroup.net/contact/,832-530-4070,,"7151 Office City Dr, Houston, TX 77087",,,,,,,,,,,,,,,,,,,,,,,,
Zavala Law Firm PLLC,Texas,https://zavalaimmigration.lawyer/,"immgration for families, immigration for businesses and employees, deportation/removal defense/bonds, provisional waivers and extreme hardship waivers, military parole, citizenship and naturalization",,https://zavalaimmigration.lawyer/contact/,713-766-6720,,"12605 East Freeway
Suite 101
Houston, Texas 77015",,,,,,,,,,,,,,,,,,,,,,,,
The Rahgozar Law Firm,Texas,https://www.rahgozarlaw.com/,"deportation defense, visas, asylum, family-based immigration, employment-based visas, investor visas, citizenship & naturalization",prahgozar@rahgozarlaw.com,,, 832- 792-3636 Immigration,"2825 Wilcrest Dr., Ste. 515
Houston, TX 77042",  210- 400-6111,"""Satellite Office 3003 N.W. Loop 410
San Antonio, TX 78230""",,,,,,,,,,,,,,,,,,,,,,
Nathan Christensen P.C.,Texas,https://www.immigrationlawyerdallastx.com/,"family immigration, deportation defense, becoming a US citizen",,https://www.immigrationlawyerdallastx.com/contact-us/,972-497-1017,,"2340 E. Trinity Mills Road Suite 105, Carrollton, TX 75006",,,,,,,,,,,,,,,,,,,,,,,,
"Luis F. Hess, PLLC",Texas,https://luishesslaw.com/,"employment-based immigration, family -based immigration, visas, green cards, citizenship",,https://luishesslaw.com/contact/,, 713- 360-0577,"112 W 4th St, Room 2-A
Houston, TX 77007",281-306-5894,"282 Ed English Dr Bldg #6 Unit D
Shenandoah, TX, 77385",,,,,,,,,,,,,,,,,,,,,,
"MODI LAW FIRM, PLLC",Texas,https://www.themodilawfirm.com/,"investor visas, deportation defense, family visas",,https://www.themodilawfirm.com/contact-us/,832-514-4030,,"1415 North Loop West Suite 612, Houston, TX 77008",,,,,,,,,,,,,,,,,,,,,,,,
Reina & Bates,Texas,https://www.reinaimmigrationlawyers.com/,"citizenship, deportation defense, permanent residency status, family immigration, green cards",,https://www.reinaimmigrationlawyers.com/contact/,469-912-2306 ,Houston 281-975-4921 ,"123 Northpoint Drive
Suite 190
Houston, TX 77060",Dallas 469-912-2306,"1140 Empire Central Drive
Suite 300
Dallas, TX 75247",,,,,,,,,,,,,,,,,,,,,,
Hill & PIIBE,California,https://www.hillandpiibe.com/en/,"Equestrian-Related immigration, green cards, nonimmigrant visas, citizenship, asylum, waivers, work permits, criminal/immigration issues, ICE detention & bonds, appeals & motions to reopen, immigration court/deportation/removal",info@hillandpiibe.com,https://www.hillandpiibe.com/en/contact-us/,,(213) 622-8775,"Downtown Los Angeles
Hill & Piibe, Immigration Attorneys
PacMutual Building
523 West Sixth Street
Suite 737
Los Angeles, CA 90014",(949) 443-0488,"Orange County
Hill & Piibe, Immigration Attorneys
32302 Camino Capistrano
Second Floor, Suite 207
San Juan Capistrano, CA 92675",,,,,,,,,,,,,,,,,,,,,,
"Catholic Charities of Los Angeles Archdiocese of Los Angeles, Inc. Main Office*",California,https://www.esperanza-la.org/,"community education, direct representation program, pro bono program",,, (213) 251-3505,,"1530 James M Wood Boulevard Los Angeles, CA 90015 ",,,,,,,,,,,,,,,,,,,,,,,,
Legal Aid Foundation of Los Angeles (LAFLA)*,California,http://www.lafla.org/,"Respondents must reside in Los Angeles County, Respondents must be low-income, Asylum and refugee status
Minors fleeing violence in their home country and coming to the United States without their parents (unaccompanied minors) , Adjustment of Status (green card applications), Naturalization (citizenship), Family reunification, Removal defense",,,,(800) 399-4529,"5228 Whittier Boulevard
Los Angeles, CA 90022",,"Santa Monica Office1640 5th St., Suite 124Santa Monica, CA 90401",,"Long Beach Office601 Pacific Ave.Long Beach, CA 90802",,"South Los Angeles Office7000 S. BroadwayLos Angeles, CA 90003",,"Ron Olson Justice Center
1550 W. 8th Street
Los Angeles, CA 90017",,,,,,,,,,,,,,,,
Immigrant Defenders Law Center*,California,https://www.immdef.org/,"litigation & advocacy, children's representation project, cross-border initative, local funding initative, post-conviction relief program, family unity project, detained youth empowerment project, national qualified rep program",info@immdef.org,,, (213) 634-0999,"634 S. Spring St, 10th floor, Los Angeles, CA 90014 ",,,,,,,,,,,,,,,,,,,,,,,,
Casa Cornelia Law Center* ,California,http://www.casacornelia.org/,"asylum, children, victims of crime",LawCenter@CasaCornelia.org,,,(619) 231-7788,"2760 Fifth Avenue, Suite 200 San Diego, CA 92103 ",,,,,,,,,,,,,,,,,,,,,,,,
Jewish Family Service of San Diego*,California,http://www.jfssd.org/site/PageServer?pagename=pr,"Immigration, Higher Education Legal Services (HELS),JFS Migrant Family Shelter/San Diego Rapid Response Network (SDRRN),Refugee Resettlement",immigration@jfssd.org,https://secure3.convio.net/jfssd/site/SPageServer/?pagename=contact_jfs&_ga=2.7115831.445933988.1606545037-238338497.1606545037,, (858) 637-3365,"8788 Balboa Avenue
San Diego, CA 92123",,,,,,,,,,,,,,,,,,,,,,,,
ABA Immigration Justice Project*,California,https://www.americanbar.org/about_the_aba/,immigration law,contact@abaijp.org,,,(619) 255-8810,"2727 Camino del Rio South, Suite 223 
San Diego, CA 92108 ",,,,,,,,,,,,,,,,,,,,,,,,
pozo goldstein llp Steven Goldstein,Florida,https://pozogoldstein.com/attorneys/steven-a-goldstein/?utm_source=avvo&utm_medium=referral,"adoptions, appeals, business immigration, citizenship, criminal defense, deportation defense",,message box https://pozogoldstein.com/contact-us/ ,Toll Free: (888) 472-5291,(305) 856-0400,"2000 S Dixie Hwy #101, Miami, FL 33133",,,,,,,,,,,,,,,,,,,,,,,,
Immigration Law office of Karen Winston,Florida,https://www.kwinstonlaw.com/,"marriage and fiancee visas, deportation defense, bond appeals and motions, asylum, citizenship and naturalization, visas for vistims of crime, domestic violence and human trafficking",,https://www.kwinstonlaw.com/contact/,(904) 723-4570,,"4623 Park Street, Jacksonville, Florida 32205",,,,,,,,,,,,,,,,,,,,,,,,
"Law office of Lena Korial-Yonan, P.A.",Florida,http://www.needimmigrationhelp.com/,"fiancee visas, marriages, spousal visas, green card, citizenship, family petition, work visas, deportation defense, asylum appeals",lena@needimmigrationhelp.com,http://www.needimmigrationhelp.com/,(904) 448-6646,,"9425 Craven Road, Suite 5, Jacksonville, FL 32257",,,,,,,,,,,,,,,,,,,,,,,,
Shoemaker Law,Florida,https://terryshoemakerlaw.com/,immigration law,,https://terryshoemakerlaw.com/contact/,904-872-SHOE (7463),,"3000 North Ponce De Leon, Suite 1, St. Augustine, FL 32084",,,,,,,,,,,,,,,,,,,,,,,,
"David F. Vedder, P.A.",Florida,https://www.theimmigrationfirm.us/,"Family-based immigration, employment-based Immigration, employer !-9 compliance, naturalization, immigration litigation, lawful permanent resident",,https://www.theimmigrationfirm.us/contact-us/,(386) 968-8880 (call),(386) 274-0044 (text),"1651 N. Clyde Morris Blvd. Suite 2, Daytona Beach, FL 32117",,,,,,,,,,,,,,,,,,,,,,,,
"The Law Office of Gisela Rodriguez, LLC",Florida,https://www.giselarodriguezlaw.com/,"family & criminal law, immigration",,https://www.giselarodriguezlaw.com/contact/, 850-270-5117,850-270-5117,"2888 Mahan Drive Suite #8 Tallahassee, FL 32308",,,,,,,,,,,,,,,,,,,,,,,,
Bennett Law Center,Florida,https://www.bennettlawcenter.com/?refPageViewId=5f08ab84a54529ab,"deportation defense, citizenship, naturalization, victims of crime, immigration waivers, DACA, asylum, VAWA, parole in place, consular processing, ",,https://www.bennettlawcenter.com/contact/,800-785-7060 (toll free),352-557-8989,"302 W. Orange Street Groveland, FL 34736",,,,,,,,,,,,,,,,,,,,,,,,
"Cuevas, Garcia, and Torres, P.A.",Florida,https://www.cuevaslaw.com/,"Immigration visas, Business and nonimmigrant visas, Investor and EB-5 visas, Lawful permanent residence status (also known as a green card), Deportation waivers, Asylum and removal proceedings, Employment-based petitions, Labor certifications (PERM), Permanent Cuban adjustment family-based petitions, Citizenship and naturalization, Non-immigrant visas for students and professionals",,https://www.cuevaslaw.com/contact/,Toll Free: 877-801-4135,305-461-9500 (Miami),"7300 North Kendall Drive Suite 680 Miami, FL 33156",,,,,,,,,,,,,,,,,,,,,,,,
Alcalde Legal,Florida,https://www.alcaldelegal.com/,"naturalization and citizenship, family based petitions, visas extension",info@alcaldelegal.com,https://www.alcaldelegal.com/orlando-immigration-lawyer,407-801-9230,,"120 E. Robinson Street Orlando, Florida 32801",,,,,,,,,,,,,,,,,,,,,,,,
"Mark Citrin, P.A. Immigration and Nationality Law",Florida,https://www.floridaimmigrationlawyer.com/,"Asylum claims,Visas and green cards, Employment immigration, Family-based immigration, Naturalization and citizenship, Immigration appeals, Deportation defense, Detained aliens in immigration custody, Federal court appeals nationwide",,https://www.floridaimmigrationlawyer.com/about/,305-482-3922 (miami),407-306-9090 (Orlando),"(Miami Office) 11900 Biscayne Boulevard Suite 506 Miami, FL 33181",,"(Orlando Office) 5401 South Kirkman Road Suite 310 Orlando, FL 32819",,,,,,,,,,,,,,,,,,,,,,
STERN Law,Georgia,https://immigration.sternlawfirm.us/?gclid=Cj0KCQjwvIT5BRCqARIsAAwwD-RimcPV9x0YDi0NCIDSL1XfsMAqwJrzM1e2wkBbjiE5aWBkczenMAUaAkWeEALw_wcB,"Qualifying relatives of U.S citizens or lawful permanent residents seeking legal residency through a family-based application, Non-U.S. citizens facing Deportation/Removal, Permanent residents who wish to earn U.S. Citizenship via the Naturalization Process, Non-U.S. citizens applying for Temporary Protected Status, Consular Processing for visas (either visitor or family-based Immigrant Visas),  Seekers of Humanitarian Parole in the U.S.,  Non-U.S. citizens who are victims of violent crimes or domestic violence in the U.S., who participate in the prosecution of crime and/or separate from their abusive spouse",intake@sternlawfirm.us,,,404-238-7411,"1100 Spring St NW #400 Atlanta, GA",,,,,,,,,,,,,,,,,,,,,,,,
Weinstock immigration lawyers,Georgia,https://visa-pros.com/contact_us/,"greem cards, visas, us citizenship, deportation defense",,https://visa-pros.com/contact_us/,,770-604-1603,,,,,,,,,,,,,,,,,,,,,,,,,
"Garvish Immigration Law Group, LLC",Georgia,https://goimmigrationlaw.com/,"us corporations, individual immigration, family immigration",admin@goimmigrationlaw.com,,,1-800-951-4980,"2970 peachtree road nw, suite 525 atlanta GA 30305",,,,,,,,,,,,,,,,,,,,,,,,
Shirazi immigration law,Georgia,https://www.shirazilaw.com/,"family immigration, business immigration, naturalization, non-immigrant visas, deportation defense, BIA & federal court litigration, refugree & asylum, temporary protected status, consular cases & waivers",,https://www.shirazilaw.com/,,(404) 523-3611,"303 Peachtree St #4100, Atlanta, GA 30308",,,,,,,,,,,,,,,,,,,,,,,,
Lyon D Jemison,Georgia,http://jemisonlaw.com/,immigration law ,http://jemisonlaw.com/contacts,http://jemisonlaw.com/contacts,,9127566324," P.O. Box 2997 Richmond, GA 31324",,,,,,,,,,,,,,,,,,,,,,,,
Corso Law Center,Georgia,http://www.ckclawfirm.com/,immigration law ,,http://www.ckclawfirm.com/contact/,,770-532-9733,"427 Green Street Gainesville, GA 30501",,,,,,,,,,,,,,,,,,,,,,,,
